编号,微博正文,topics,sentiment
7,拒绝让步！在被我们约谈之后，沃尔玛仍在要求中国供应商单方面降价！4月2日，沃尔玛要求中国供应商在每轮美国关税调整中降价10%，深圳电子厂老板计算器都摔了，利润直接跌到谷底，工人社保都得愁！供应商们容易吗？就靠那点微薄利润撑着工厂，沃尔玛这一闹，不是要断人活路吗？质量一降，消费者也跟着倒霉。为了生存，工厂只能削工人福利，那工人生活怎么办？宁波一家厨具厂透露，原本每套调料罐利润不到两毛钱，现在每卖一组货倒贴五毛钱。全厂八百多号人的社保费，现在得靠银行贷款周转。广东某服装厂老板说，厂里给沃尔玛供货十多年，今年突然被砍掉四成订单，两百多工人现在只能拿基本工资。沃尔玛要求中国工厂承担全部关税成本，这事背后还有更狠的算盘。他们和每个供应商单独谈价，同一款产品在不同工厂能砍出三四个价码，摆明吃定小厂不敢反抗。有供应商私下算过账，按这个降价幅度干半年，厂子就得把前三年攒的老本全赔光。现在五十多家厨具供应商抱团和沃尔玛硬刚，明确表示再逼降价就集体断供。这些厂子加起来占了沃尔玛美国货架三成份额，真闹掰了老美超市两个月就得空半边。沃尔采购总监也承认，现在根本找不到能顶替的中国供应链，越南工厂连基础包装盒都做不利索。更损的是沃尔玛两头吃红利，去年光靠中国山姆店就赚走27亿美元，转头却把美国市场的压力全甩给中国工厂。有业内人士透露，他们要求供应商降价的品类，正是山姆店里卖得最火的厨房小家电和休闲服装，这手「割中国肉补美国疮」的套路玩得够绝。 收起d,"美国关税政策对企业产品价格结构的影响, 美国关税影响下中国经济结构性调整建议",negative
8,『邢自强：中国在对美国关税反击政策上出现了战术转变』O邢自强：中国在对美国关税反击政策上出现了战术转变 ​,中美贸易战升级与中国反制措施,neutral
9,逻辑香港科技大学超话美国关税大棒就是（欧盟）我是老大我就要多吃多占，我给你的才是你的，我不给你的你不能抢，（中国）我就是见不得你赚钱发展得越来越好，蓝星只有我能说了算。 2广州·香港科技大学(广州) ​,,negative
10,近期在美国国内，关于美国关税政策“损人不利己”的评论越来越多。美国有线电视新闻网主播在一段节目中批评美国政府当前的关税政策，他直言美国政府的贸易保护主义“太过离谱”。主播法里德·扎卡里亚表示：“特朗普正在以一种任性的、具有毁灭性的、愚蠢的方式去行使美国的权力，这几乎让所有国家陷入双输的局面。美国政府计算关税的方式更像是一种巫术，而不是经济学。” L央视财经的微博视频 收起d,美国关税政策对全球经济的连锁反应,negative
1,【应对美国关税冲击，政策工具箱里还有什么？】中国社会科学院金融研究所副所长 张明：应对贸易战带来的不利影响和冲击，中国政府目前手里还有大量“工具”可以使用。从财政部的角度来看，目前我们的中央财政赤字占GDP的比重仅在3%到4%，应该说还有扩大赤字的空间，我们的国债未来也有放量发行的空间，这些资金可以用来刺激实体经济，刺激消费，帮助我们扩展基础设施投资，当然它也会间接流入股市。②从央行的角度来讲，现在降准和降息也都还有空间。目前我们金融机构准备金率在5%到6%左右，进一步下调准备金率可以向市场提供更多的流动性。目前我们的基准利率一直在3%以上，所以降息和降准既有利于实体经济复苏，同时也有利于资本市场稳定。同时，我们的央行跟其它国家的央行不一样，我们还有结构性的货币政策工具，包括去年9月24日以后央行推出的两项用于稳定股票市场再贷款的工具。③除此之外，我们的发改委、国资委，还有其它的一些部委，应该说手里也还有很多可供使用的工具，还有非常充足的政策空间。 L新闻一加一的微博视频 收起d,"美国关税影响下中国经济结构性调整建议, 中美贸易战升级与中国反制措施",positive
2,#美国关税政策伤了谁#特朗普的经济内阁高级官员说，¹ 他们接到指令优先跟日本（24％）、韩国（25％）以及其他盟友国家谈判。财政部长、国家经济顾问等人每个人分工不同。² 他们对日韩没有采取关税报复措施予以表扬。特朗普说他在等中国的电话。他公开对以色列、日韩以及其他国家说了，醉翁之意不“全”在酒。“除了关税之外，我们还需要别的一些东西。”够赤裸裸。 收起d,"中美贸易战升级与中国反制措施, 全球主要经济体对美加征关税反应",negative
3,应该搞梅福券了。直接发行一百万亿军事特别国债（就叫统一券），特朗普再每加一个点关税就多发一万亿。陆军扩充到一千万，核弹按一百万造，全民核掩体，制造十万架六代机，同时开工一千万吨军舰。之后美国关税每降一个点赎回一万亿国债。极限施压谁不会啊？ //@改名字最难受:山高认为我们这波该对等关税嘛//@山高县2020:如果美国深度介入台湾之战，那就说明美国已经弱到这就是决战了。 //@不_说了:问题是你这么开战，搞一个扩大化的战役，战略目标是啥？要达到什么地步才能停下来。//@山高县2020:我认为就应该这样打。台湾相当于锦州，琉球就是松山，应该先打松山。 //@通辽执金吾:隔绝湾湾，先进攻琉球与美日舰队主力决战，摧毁掉美日舰队后再攻湾湾，可行不？ 收起d,中美贸易战升级与中国反制措施,negative
4,#美国关税回旋镖射向美国人#美国关税政策将冲击美国各行各业。从农产品、电子设备到日用品，美国总统特朗普打出的“关税子弹”，最终射中的将是普通美国老百姓。#热门视频##微博热点##热点观点##美国关税政策伤了谁##美对多国加征关税##特朗普关税# L布哈拉丝绸游台湾的微博视频 ​,美国关税对普通居民进口消费品的影响,negative
5,【特朗普正在亲手终结美国能源主导权｜巴伦宏观】在可再生能源赛道，中国本就主导电池、光伏组件及关键供应链。美国关税战叠加全球领导力退场，无异于为中国持续领跑派发通行证。#特朗普喊话欧盟购买3500亿美元能源# O特朗普正在亲手终结美国能源主导权｜巴伦宏观 ​,美国利用能源出口作为贸易施压手段,positive
6,特朗普政府近期签署行政令，宣布对所有贸易伙伴征收“对等关税”，其中欧盟产品面临20%的额外关税。作为回应，欧盟委员会提议自5月16日起对美国进口商品加征25%关税。欧盟委员会主席冯德莱恩提出，欧盟愿意将从美国进口的汽车和工业产品的关税降至零，希望以此换取美国对等的关税减免。当地时间4月7日晚，特朗普在白宫记者会上表示，欧盟必须承诺购买价值3500亿美元的美国能源，才能获得美国关税减免。他声称美国与欧盟之间存在3500亿美元的贸易逆差，而通过欧盟购买美国能源，可以在一周内抵消这一逆差。美国希望通过增加能源出口来减少对欧盟的贸易赤字，同时为国内能源产业创造更多市场机会，巩固其在全球能源市场的地位。将能源出口与关税豁免挂钩，是美国在贸易谈判中增加筹码的策略，试图迫使欧盟在其他贸易问题上做出更多让步。欧盟委员会负责贸易和经济安全等事务的委员马罗什·谢夫乔维奇表示，欧盟仍希望通过对话和谈判推动美方取消关税，但如果谈判未能取得进展，欧盟将动用一切手段对美反制。欧盟对能源的需求巨大，但其能源供应高度依赖俄罗斯和中东地区。特朗普的要求可能会促使欧盟重新评估其能源供应策略，增加从美国的能源进口，但欧盟在做出这一决策时也需要考虑能源供应的多元化和安全性。特朗普的要求可能会进一步加剧美欧之间的贸易紧张局势。如果欧盟认为这一要求不合理或难以接受，双方的贸易摩擦可能会进一步升级。双方在关税、农业补贴、数字税等问题上已经存在分歧，能源问题的加入可能会使谈判更加艰难。如果欧盟接受特朗普的要求，美国的液化天然气（LNG）等能源产业可能会成为最大受益者。美欧贸易关系的变化可能会对全球经济格局产生连锁反应，影响全球能源市场和贸易秩序。#特朗普喊话欧盟购买3500亿美元能源##热点解读# 收起d,"欧盟对美国贸易施压的反制措施, 美欧贸易争端中的能源与关税谈判, 美国利用能源出口作为贸易施压手段, 全球多边贸易体系面临挑战",neutral
7,东南亚各国对美国加关税的态度：1.越南46%的对等关税，不对抗，要和美国见面。2.柬埔寨49%的对等关税，不对抗，要降低美国关税。3.泰国36%的对等关税，不对抗，要和美国谈判，并找新的市场。4.印尼32%的对等关税，不对抗，要和美国谈判，放宽贸易规则。5.马来西亚24%的对等关税，不对抗，不仅和美国商量，还要和东盟各国商量。6.菲律宾17%的对等关税，不对抗，也不和美国谈判，感觉没有伤害。7.新加坡10%的对等关税，不对抗，但对未来深刻担忧。8.老挝48%的对等关税，不对抗，懒得回复，反正不跟美国混。9.文莱24%的对等关税，不对抗，表示要和美国接触。10.缅甸44%的对等关税，不对抗，最近忙，没时间表态。11.东帝汶美国没提到它，可能是不够格。#特朗普谈股市暴跌##全球股市巨震##热点观点# 收起d,全球主要经济体对美加征关税反应,neutral
